query,expected_response
"Your teammate was sucking a boiled
sweet when they tripped on a tree root.
They clutch their throat and can't talk.","You should ask them: “Are you choking?”. You should encourage them to cough, if they can. You should remove anything obvious from their mouth. If still choking, you should give them up to five back blows. You need to stop if the obstruction clears. If the obstruction doesn’t clear, you need to give up to five abdominal thrusts. Repeat back blows and abdominal thrusts until the obstruction clears. If they become unresponsive prepare to start CPR. If you used abdominal thrusts, they must seek medical advice."
"It is a beautiful sunny day and your group
have just walked up a steep hill.
One of your team mates is only wearing a t-
shirt and shorts.
You stop for lunch at the top of the hill and
they start to shiver.","You should take the casualty to a sheltered place as quickly as
possible. This could be coming off the top of the hill, or creating
shelter with a tent or an emergency shelter. Remove and replace any wet clothing and make sure the head is
covered. Protect the casualty from the ground by laying them on a sleeping mat and put in a dry sleeping bag. Ideally, two people should go for help and stay together if you are in a remote area. It is important that you do not leave the casualty by themselves. Give warm drinks and high energy food if available."
"It is a hot sunny day and your running group are
just finishing a particularly hard leg.
One of your teammates has been complaining
of a headache, they are hot, flushed and have
dry hot skin.","Help your team-mate to a cool, shady place. You may have to
create your own shade using an emergency shelter. Encourage them to lay down and raise and support their legs. Give them plenty of water to drink. Monitor your team-mate and seek medical help."
"Your expedition team stop for a snack
and share around a bag of fruit and nut.
One of your team starts to experience
difficulty in breathing, has swelling
around the mouth and a red rash starts
to appear.","Ask if the member of your team has any allergies.
Move the bag of fruit and nuts away from the casualty, or
the casualty away from the food.
Allow the casualty to take their allergy medication (usually
a tablet if there is mild irritation) or auto-injector (if they
are at risk of a severe allergic reaction)."
"You and your team are walking along a
bridleway. You notice your friend's eyes
are running, they are sniffing and sneezing
a lot.","Ask if the member of your team has hay fever.
If possible move the casualty away from the trigger.
Allow the casualty to take their hay fever medication."
"After a long days walk you get into your tent
with your tent mate and take your boots off. You
notice an unusual pea sized lump stuck to your
friends leg.","Treat for a tick bite.
Remove the tick from the skin using tweezers or a tick remover. Grasp the tick's head as close to the casualty's skin as you can and gently pull the head upwards using steady even pressure. Save the tick for identification"
"It is raining and you and your team are
walking down a slippery hillside.
Your team mate slips and rolls on their ankle.
The ankle is swollen and appears painful.","You should be careful not to slip over as well.
Help the casualty to sit down. You should support the ankle with coats and jumpers to keep it in a comfortable position.
You should put up a tent or emergency shelter to protect the group from the rain."
"After a short rest break your team mate is
putting their heavy rucksack back on, they
drop it and scream in pain.
You notice their arm is hanging at an odd
angle and the joint looks funny.","Advise the casualty to keep still and support the injured arm in the
position they find most comfortable.
Immobilise the injured arm with a sling.
Arrange to take or send the casualty to hospital. If in a remote area consider asking for
mountain rescue and erecting an emergency shelter."
"You are walking along a field boundary when
you come across a stile.
One of your team members trips over the top
and lands heavily on their arm.
They scream out in pain.","Advise the casualty to keep still and support the injured arm in
the position they find most comfortable.
You should try and support it using coats and jumpers or a sling if
you have one. If in a remote area,
consider asking for Mountain Rescue and erecting an emergency
shelter."
"You and your team are very tired after day 1 of
your expedition. One person is cooking your
boil in the bag meals whilst the rest of the
team put the tents up.
You hear a scream and notice your team mate
has tripped over a guy rope knocking the
boiling water onto her arm.","Their arm should be flooded with cold water for at least 10 minutes,
(the campsite may have outdoor taps which you can use).
Any jewellery should be removed if possible before the injured area begins to swell.
You should put on disposable gloves, if available.
A clean plastic bag or cling film applied length-ways can be used as a temporary covering.
You should cover the area with a sterile dressing or a clean non-
fluffy pad and bandage loosely in place."
"You are walking across a field for
approximately 6km on a hot, sunny day.
You notice your team mate looks
extremely red and has not been wearing a
hat.","You should move your team-mate out of the sun or, if at all
possible, indoors.
Pour cool water over your team-mate to cool them down for 10
minutes.
You should give them frequent sips of cold water.
For mild burns, calamine or after-sun may soothe.
For severe burns seek medical help.
Check the rest of your team, make sure everyone is wearing sun
cream and has their skin covered."
"You are cycling towards your lunch stop and
have been looking for somewhere to stop
for water for the last 3 hours.
Your friend has had a headache for around
45 minutes and hasn't been to the toilet
since the morning.
They start to feel dizzy.","Reassure your friend, help them to sit down and get them plenty of
water to drink.
Water is usually sufficient but oral rehydration solutions can help
with salt replacement.
Monitor your friend and seek further medical help if they continue to
be unwell."
"One of your team members is scared of cows
so decides to run to the other end of the cow
field to stay away from them.
When you catch up with them they are
wheezing and have difficulty in breathing.","You should reassure them and tell them to try to keep calm.
You should ask them whether they have their reliever inhaler, and
tell them to use it.
You should help them to sit in a position which feels comfortable,
removing their backpacks.
If they do not improve within a few minutes they may take one or two more puff from the inhaler every two minutes until they have had ten puffs."
"You have stopped for lunch when a walker
you saw earlier in the day is walking towards
you. He appears to be very unsteady and
shaky, is showing signs of confusion, is
unsure of where he is and is asking for help.
You notice a medical alert bracelet on his
wrist.","Reassure the casualty. Sit them down. Check their medical bracelet –
this tells you that they are a diabetic.
Ask them if they have any Glucogel or sweets on them.
Get Glucogel or sweets from the bag and hand them to the casualty.
If they need and are able to check their blood sugar levels encourage
them to do this.
Advise them to have a proper meal."
"It is a hot day and a member of your group
starts having a nosebleed while they are
walking","Sit the casualty down
Tilt the head forward and ask them to breathe through their mouth
Get the casualty to pinch the soft part of their nose to stop the
bleeding
After 10 minutes check to see if still bleeding
If still bleeding pinch nose for another 10 minutes. If bleeding has
not stopped after a maximum of 30 minutes call 999/112 for
emergency help
Clean around the nose with water."
"Your team stop and decide to check their
maps and route card to make sure they are
where they think they are.
A member of your group complains about
feeling dizzy and light headed.
You hear a thud and realise they have
collapsed. They wake up quickly.","Lay the casualty down and raise their legs to increase blood flow to the head.
When they feel ready, help them to sit up gradually.
Support them until they recover fully.
If they feel faint again, lie them down and raise their legs.
When recovered give them something to eat and drink.
Keep the group warm and hydrated while you are stopped."
"After a long day your team finally get their tent
up and can't wait to get their boots off.
You are all running around in your socks when a
team mate steps on a tent peg that was left in
the ground and it gets stuck in their foot.","Everyone should be careful not to cut themselves on any other
tent pegs and put their boots back on.
You should not try to remove the tent peg, but apply pressure on
both sides of the peg. Drape a piece of gauze over the wound
and object.
If you can, build up padding on either side of the peg until it is
high enough for you to be able to bandage over the top of the
object without pressing it further into the wound. Monitor circulation in the foot.
Treat for shock if necessary."
"Two of your friends are walking ahead of you
and are mucking about, one of them slips and
slides down the side of the path.
It is not steep so it is safe to make your way
to them.
When you get there your friend is crying and
in pain, there is a lot of blood on their leg.","If there is nothing in the wound you should apply direct the wound to try and stop the bleeding.
Secure the dressing with a bandage that is firm enough to maintain
pressure but not too tight to stop the circulation. Treat for shock by lying the casualty down on something to
protect them from the cold and raise their legs."
